smiles,predict_value
CSC1=C(c2ccc(C)s2)/C(=N/C(C)(C)C)C1,4.744155974089355
CSC1=C(c2ccccc2)/C(=N/C(C)(C)C)C1,4.565854352951549
C/N=C1\CC(SC)=C1c1ccc(OC)cc1,4.801402378862407
C/N=C1\CC(SC)=C1c1ccc(C)cc1,4.450809497129147
CSC1=C(c2ccc(C)cc2)/C(=N/C(C)(C)C)C1,4.565854352951549
COc1ccc(C2=C(SC)C/C2=N\C(C)(C)C)cc1,4.922606607597322
CN(c1ccc(Cl)cc1)c1sccc1-n1cccc1,4.679189094808332
COc1cccc(-n2ccc(OC)c2SC)c1,4.8118537485758
CC1CCC(C(C)C)C(O[C@H]2C=CC(=O)O2)C1,5.083413735821857
O=[N+]([O-])c1ccc(N(CCO)CCO)cc1,4.137383066052131
c1ccc(-c2nnc3n2CCCS3)cc1,4.84261952184248
O=C(/C=C/C=C/c1ccccc1)c1cccs1,4.252721673544022
N#C/C(=C/c1ccccc1[N+](=O)[O-])c1ccccc1,4.729024078189916
COc1ccc(C(=O)NC(=S)NNC(=O)COc2ccccc2)cc1,5.537408038707427
O=Cc1ccc(-c2ccccc2Cl)o1,4.892140185892384
COc1ccc(/C(C)=N/N=C(\C)c2ccc(OC)cc2OC)c(OC)c1,5.005763147413217
C[C@]12C=CC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,5.073503175195242
C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CCC2=O,5.073503175195242
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(=O)C[C@@]21C,5.229698459250498
CC(=O)O[C@H]1CC[C@@]2(C)C(=CCC3C4CCC(=O)[C@@]4(C)CCC32)C1,5.188498019441921
C[C@]12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,5.043318433131827
CC(=O)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,5.305958342228107
Cc1ccc(OCC(=O)Nc2ccc(NC(=O)COc3ccc(C)cc3)cc2)cc1,5.095557301893787
O=C(COc1ccccc1Cl)Nc1ccc(NC(=O)COc2ccccc2Cl)cc1,5.0489888548838495
Cc1cccc(OCC(=O)Nc2ccc(-c3ccc(NC(=O)COc4cccc(C)c4)cc3)cc2)c1,5.393489772506093
Cc1ccc(OCC(=O)Nc2ccc(-c3ccc(NC(=O)COc4ccc(C)cc4)cc3)cc2)cc1,5.393489772506093
Cc1ccc(OCC(=O)Nc2ccccc2NC(=O)COc2ccc(C)cc2)cc1,5.673899617362198
O=C(COc1ccc(Cl)cc1)Nc1ccccc1NC(=O)COc1ccc(Cl)cc1,5.4021806076826815
Cc1ccccc1OCC(=O)Nc1ccc(NC(=O)COc2ccccc2C)cc1,5.19241420905969
N#Cc1ccc(/C=C/C(=O)c2ccccc2)cc1,4.036009878733433
O=C(O)c1ccc(/C=C/C(=O)c2ccccc2)cc1,4.339928708852909
COc1ccc(C(=O)c2ccc(Cl)cc2)cc1,4.520334665972802
Cc1ccc(OCC(=O)OCC(=O)c2ccccc2)cc1C,4.705408047963794
Cc1ccc(OCC(=O)OCC(=O)c2ccc(Cl)cc2)cc1C,4.977002766726426
Cc1ccc(OCC(=O)OCC(=O)c2ccc([N+](=O)[O-])cc2)cc1C,5.038971155294211
CCCCC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,4.611345575994492
Cc1cc(C)nc(NC(=O)c2cccc(Cl)c2)n1,3.7824557913954395
CC(=O)c1ccc(NC(=O)c2cccc(Cl)c2)cc1,4.580841706340738
COc1ccc(NC(=O)c2ccccc2C(=O)c2ccc(Cl)cc2)cc1,4.759413215111038
