auc_roc,auc_prc,se,sp,acc,mcc,precision,type,split,model,seed
0.9901605416786295,0.988935300914847,0.9560723514211886,0.9606481481481481,0.9584859584859585,0.9167204995693368,0.9560723514211886,tr,cluster,gcn,0
0.9972462627852086,0.9959538284822421,0.975609756097561,0.967741935483871,0.970873786407767,0.9396623865140615,0.9523809523809523,va,cluster,gcn,0
0.9795454545454545,0.9856546135464309,0.9375,1.0,0.970873786407767,0.9428725368201439,1.0,te,cluster,gcn,0
0.9965884899657952,0.9952391435806374,0.9922680412371134,0.9466357308584686,0.9682539682539683,0.9376150921211497,0.9436274509803921,tr,cluster,gcn,1
0.9720306513409962,0.9650791015504442,0.9555555555555556,0.896551724137931,0.9223300970873787,0.8462907797646774,0.8775510204081632,va,cluster,gcn,1
0.9582066869300914,0.9725520181904758,0.9107142857142857,0.8936170212765957,0.9029126213592233,0.804331306990881,0.9107142857142857,te,cluster,gcn,1
0.994549040702887,0.9931234398576769,0.9282051282051282,0.9790209790209791,0.9548229548229549,0.910228704791125,0.9757412398921833,tr,cluster,gcn,2
0.9825757575757577,0.9796606154292359,0.8541666666666666,0.9636363636363636,0.912621359223301,0.8272577146941714,0.9534883720930233,va,cluster,gcn,2
0.9181749622926093,0.9095710359881843,0.7647058823529411,0.9038461538461539,0.8349514563106796,0.6757244472232103,0.8863636363636364,te,cluster,gcn,2
0.9934083582018001,0.992036526284148,0.989501312335958,0.8904109589041096,0.9365079365079365,0.8784081196291003,0.8870588235294118,tr,cluster,gcn,3
0.9660633484162895,0.9557625027961552,0.9615384615384616,0.8235294117647058,0.8932038834951457,0.7934902984313164,0.847457627118644,va,cluster,gcn,3
0.959726443768997,0.9705044390042312,0.9107142857142857,0.7446808510638298,0.8349514563106796,0.6698011464388017,0.8095238095238095,te,cluster,gcn,3
0.9967887115451192,0.996523481474256,0.801007556675063,0.9976303317535545,0.9023199023199023,0.8185044502069188,0.9968652037617555,tr,cluster,gcn,4
0.9689655172413794,0.9654262353426823,0.7555555555555555,0.9827586206896551,0.883495145631068,0.7731664180021455,0.9714285714285714,va,cluster,gcn,4
0.9217325227963525,0.9121862103968561,0.723404255319149,0.9285714285714286,0.8349514563106796,0.6730167366087997,0.8947368421052632,te,cluster,gcn,4
0.9995100031072973,0.9994515143493673,0.9769820971867008,0.9953271028037384,0.9865689865689866,0.9732051929090054,0.9947916666666666,tr,cluster,gcn,5
0.9792452830188678,0.9818861586427283,0.9245283018867925,0.92,0.9223300970873787,0.8445283018867918,0.9245283018867925,va,cluster,gcn,5
0.9597701149425287,0.9502584029218709,0.9111111111111111,0.8275862068965517,0.8640776699029126,0.7328245601899792,0.803921568627451,te,cluster,gcn,5
0.9955841985917173,0.995486020588036,0.9924812030075187,0.8857142857142857,0.9377289377289377,0.8810390865207062,0.8918918918918919,tr,cluster,gcn,6
0.9856603773584907,0.9842369462368181,1.0,0.8113207547169812,0.9029126213592233,0.8222533848703918,0.8333333333333334,va,cluster,gcn,6
0.9408730158730159,0.9197826982759986,0.9,0.8412698412698413,0.8640776699029126,0.7267085298611962,0.782608695652174,te,cluster,gcn,6
0.9811033312622472,0.979537807997818,0.9693877551020408,0.8641686182669789,0.9145299145299145,0.8348191530148944,0.867579908675799,tr,cluster,gcn,7
0.9475471698113207,0.9626492945344878,0.9245283018867925,0.78,0.8543689320388349,0.7140218928153589,0.8166666666666667,va,cluster,gcn,7
0.9718798151001541,0.9599806866170024,0.9545454545454546,0.864406779661017,0.9029126213592233,0.8105652465032358,0.84,te,cluster,gcn,7
0.9824525704710036,0.9813159798237594,0.7818181818181819,0.9861751152073732,0.8901098901098901,0.7918236898123768,0.9804560260586319,tr,cluster,gcn,8
0.9411764705882352,0.9478342499477284,0.75,0.9411764705882353,0.8446601941747572,0.7032117882409895,0.9285714285714286,va,cluster,gcn,8
0.9668174962292608,0.9694735547152694,0.7307692307692307,0.9803921568627451,0.8543689320388349,0.7330483795168647,0.9743589743589743,te,cluster,gcn,8
0.9998698748432583,0.9998563852300755,0.9974093264248705,0.9817351598173516,0.9890776699029126,0.9782336095810408,0.9796437659033079,tr,cluster,gcn,9
0.9615094339622642,0.9665824588272451,0.9056603773584906,0.88,0.8932038834951457,0.7862540006977022,0.8888888888888888,va,cluster,gcn,9
0.9620833333333333,0.9643251176477119,0.92,0.8125,0.8673469387755102,0.7379002837461452,0.8363636363636363,te,cluster,gcn,9
